dataset,method,metric,author,ours,delta
BUPA,UFCE1,Prox-Jac,,,
BUPA,UFCE1,Prox-Euc,10.0,0.3566328700539223,-9.643367129946078
BUPA,UFCE1,Sparsity,1.0,1.0,0.0
BUPA,UFCE1,Actionability,17.0,16.4,-0.6000000000000014
BUPA,UFCE1,Plausibility,15.0,16.0,1.0
BUPA,UFCE1,Feasibility,15.0,16.0,1.0
BUPA,UFCE2,Prox-Jac,,,
BUPA,UFCE2,Prox-Euc,9.0,0.0,-9.0
BUPA,UFCE2,Sparsity,2.0,0.0,-2.0
BUPA,UFCE2,Actionability,15.0,0.0,-15.0
BUPA,UFCE2,Plausibility,15.0,16.0,1.0
BUPA,UFCE2,Feasibility,15.0,0.0,-15.0
BUPA,UFCE3,Prox-Jac,,,
BUPA,UFCE3,Prox-Euc,17.1,0.0,-17.1
BUPA,UFCE3,Sparsity,2.9,0.0,-2.9
BUPA,UFCE3,Actionability,13.0,0.0,-13.0
BUPA,UFCE3,Plausibility,13.0,0.2,-12.8
BUPA,UFCE3,Feasibility,13.0,0.0,-13.0
BUPA,DiCE,Prox-Jac,,,
BUPA,DiCE,Prox-Euc,51.45,,
BUPA,DiCE,Sparsity,4.5,,
BUPA,DiCE,Actionability,1.0,,
BUPA,DiCE,Plausibility,1.0,,
BUPA,DiCE,Feasibility,1.0,,
BUPA,AR,Prox-Jac,,,
BUPA,AR,Prox-Euc,40.65,,
BUPA,AR,Sparsity,4.2,,
BUPA,AR,Actionability,9.0,,
BUPA,AR,Plausibility,15.0,,
BUPA,AR,Feasibility,9.0,,
