dataset,method,metric,author,ours,delta
Red Wine,UFCE1,Prox-Jac,,,
Red Wine,UFCE1,Prox-Euc,14.9,0.588752819548872,-14.311247180451128
Red Wine,UFCE1,Sparsity,1.0,1.0,0.0
Red Wine,UFCE1,Actionability,43.0,19.2,-23.8
Red Wine,UFCE1,Plausibility,28.0,18.8,-9.2
Red Wine,UFCE1,Feasibility,28.0,18.8,-9.2
Red Wine,UFCE2,Prox-Jac,,,
Red Wine,UFCE2,Prox-Euc,8.45,0.5907424343337466,-7.859257565666253
Red Wine,UFCE2,Sparsity,2.0,1.975,-0.02499999999999991
Red Wine,UFCE2,Actionability,50.0,9.6,-40.4
Red Wine,UFCE2,Plausibility,41.0,8.2,-32.8
Red Wine,UFCE2,Feasibility,41.0,8.2,-32.8
Red Wine,UFCE3,Prox-Jac,,,
Red Wine,UFCE3,Prox-Euc,21.95,0.735449568640191,-21.214550431359807
Red Wine,UFCE3,Sparsity,3.0,2.8,-0.20000000000000018
Red Wine,UFCE3,Actionability,50.0,3.0,-47.0
Red Wine,UFCE3,Plausibility,42.0,2.6,-39.4
Red Wine,UFCE3,Feasibility,42.0,2.6,-39.4
Red Wine,DiCE,Prox-Jac,,,
Red Wine,DiCE,Prox-Euc,43.1,,
Red Wine,DiCE,Sparsity,7.0,,
Red Wine,DiCE,Actionability,10.0,,
Red Wine,DiCE,Plausibility,33.0,,
Red Wine,DiCE,Feasibility,10.0,,
Red Wine,AR,Prox-Jac,,,
Red Wine,AR,Prox-Euc,38.25,,
Red Wine,AR,Sparsity,7.2,,
Red Wine,AR,Actionability,11.0,,
Red Wine,AR,Plausibility,42.0,,
Red Wine,AR,Feasibility,11.0,,
