dataset,method,metric,author,ours,delta
BUPA,UFCE1,Prox-Jac,,,
BUPA,UFCE1,Prox-Euc,10.0,0.3474307814992024,-9.652569218500798
BUPA,UFCE1,Sparsity,1.0,1.0,0.0
BUPA,UFCE1,Actionability,17.0,16.4,-0.6000000000000014
BUPA,UFCE1,Plausibility,15.0,16.0,1.0
BUPA,UFCE1,Feasibility,15.0,16.0,1.0
BUPA,UFCE2,Prox-Jac,,,
BUPA,UFCE2,Prox-Euc,9.0,0.0,-9.0
BUPA,UFCE2,Sparsity,2.0,0.0,-2.0
BUPA,UFCE2,Actionability,15.0,0.0,-15.0
BUPA,UFCE2,Plausibility,15.0,16.0,1.0
BUPA,UFCE2,Feasibility,15.0,0.0,-15.0
BUPA,UFCE3,Prox-Jac,,,
BUPA,UFCE3,Prox-Euc,17.1,0.125,-16.975
BUPA,UFCE3,Sparsity,2.9,0.25,-2.65
BUPA,UFCE3,Actionability,13.0,0.0,-13.0
BUPA,UFCE3,Plausibility,13.0,0.6,-12.4
BUPA,UFCE3,Feasibility,13.0,0.0,-13.0
BUPA,DiCE,Prox-Jac,,,
BUPA,DiCE,Prox-Euc,51.45,,
BUPA,DiCE,Sparsity,4.5,,
BUPA,DiCE,Actionability,1.0,,
BUPA,DiCE,Plausibility,1.0,,
BUPA,DiCE,Feasibility,1.0,,
BUPA,AR,Prox-Jac,,,
BUPA,AR,Prox-Euc,40.65,,
BUPA,AR,Sparsity,4.2,,
BUPA,AR,Actionability,9.0,,
BUPA,AR,Plausibility,15.0,,
BUPA,AR,Feasibility,9.0,,
