dataset,method,metric,author,ours,delta
Graduate Admission,UFCE1,Prox-Jac,0.0,0.0,0.0
Graduate Admission,UFCE1,Prox-Euc,2.34,0.6367359307359308,-1.703264069264069
Graduate Admission,UFCE1,Sparsity,1.0,1.0,0.0
Graduate Admission,UFCE1,Actionability,8.0,8.6,0.5999999999999996
Graduate Admission,UFCE1,Plausibility,8.0,8.6,0.5999999999999996
Graduate Admission,UFCE1,Feasibility,8.0,8.6,0.5999999999999996
Graduate Admission,UFCE2,Prox-Jac,0.0,0.0,0.0
Graduate Admission,UFCE2,Prox-Euc,4.85,0.1034200430730881,-4.746579956926912
Graduate Admission,UFCE2,Sparsity,2.0,0.29816849816849816,-1.7018315018315018
Graduate Admission,UFCE2,Actionability,13.0,2.6,-10.4
Graduate Admission,UFCE2,Plausibility,13.0,11.2,-1.8000000000000007
Graduate Admission,UFCE2,Feasibility,13.0,2.6,-10.4
Graduate Admission,UFCE3,Prox-Jac,0.0,0.0,0.0
Graduate Admission,UFCE3,Prox-Euc,6.32,0.543112094692259,-5.776887905307741
Graduate Admission,UFCE3,Sparsity,2.8,1.1549494949494947,-1.645050505050505
Graduate Admission,UFCE3,Actionability,13.0,9.2,-3.8000000000000007
Graduate Admission,UFCE3,Plausibility,13.0,10.0,-3.0
Graduate Admission,UFCE3,Feasibility,13.0,9.2,-3.8000000000000007
Graduate Admission,DiCE,Prox-Jac,0.4,,
Graduate Admission,DiCE,Prox-Euc,22.12,,
Graduate Admission,DiCE,Sparsity,4.4,,
Graduate Admission,DiCE,Actionability,3.0,,
Graduate Admission,DiCE,Plausibility,9.0,,
Graduate Admission,DiCE,Feasibility,3.0,,
Graduate Admission,AR,Prox-Jac,0.4,,
Graduate Admission,AR,Prox-Euc,13.34,,
Graduate Admission,AR,Sparsity,4.15,,
Graduate Admission,AR,Actionability,5.0,,
Graduate Admission,AR,Plausibility,9.0,,
Graduate Admission,AR,Feasibility,5.0,,
