dataset,method,metric,author,ours,delta
Movie,UFCE1,Prox-Jac,0.0,0.0,0.0
Movie,UFCE1,Prox-Euc,20.0,0.16074766355140468,-19.839252336448595
Movie,UFCE1,Sparsity,1.0,1.0,0.0
Movie,UFCE1,Actionability,20.0,0.2,-19.8
Movie,UFCE1,Plausibility,8.0,0.2,-7.8
Movie,UFCE1,Feasibility,8.0,0.2,-7.8
Movie,UFCE2,Prox-Jac,0.0,0.0,0.0
Movie,UFCE2,Prox-Euc,32.0,4.074850237717866,-27.925149762282132
Movie,UFCE2,Sparsity,2.0,1.9753333333333327,-0.02466666666666728
Movie,UFCE2,Actionability,14.0,25.2,11.2
Movie,UFCE2,Plausibility,14.0,24.8,10.8
Movie,UFCE2,Feasibility,14.0,24.8,10.8
Movie,UFCE3,Prox-Jac,0.0,0.0,0.0
Movie,UFCE3,Prox-Euc,43.0,49.459517340829976,6.459517340829976
Movie,UFCE3,Sparsity,3.0,2.9916666666666667,-0.008333333333333304
Movie,UFCE3,Actionability,18.0,25.2,7.199999999999999
Movie,UFCE3,Plausibility,18.0,22.4,4.399999999999999
Movie,UFCE3,Feasibility,18.0,22.4,4.399999999999999
Movie,DiCE,Prox-Jac,0.55,,
Movie,DiCE,Prox-Euc,78.0,,
Movie,DiCE,Sparsity,10.0,,
Movie,DiCE,Actionability,5.0,,
Movie,DiCE,Plausibility,19.0,,
Movie,DiCE,Feasibility,5.0,,
Movie,AR,Prox-Jac,0.45,,
Movie,AR,Prox-Euc,80.0,,
Movie,AR,Sparsity,9.0,,
Movie,AR,Actionability,8.0,,
Movie,AR,Plausibility,19.0,,
Movie,AR,Feasibility,8.0,,
