dataset,method,metric,author,ours,delta
Red Wine,UFCE1,Prox-Jac,,,
Red Wine,UFCE1,Prox-Euc,14.9,0.5799966165413533,-14.320003383458648
Red Wine,UFCE1,Sparsity,1.0,1.0,0.0
Red Wine,UFCE1,Actionability,43.0,19.0,-24.0
Red Wine,UFCE1,Plausibility,28.0,18.6,-9.399999999999999
Red Wine,UFCE1,Feasibility,28.0,18.6,-9.399999999999999
Red Wine,UFCE2,Prox-Jac,,,
Red Wine,UFCE2,Prox-Euc,8.45,0.14929843466895018,-8.30070156533105
Red Wine,UFCE2,Sparsity,2.0,0.4856836310526907,-1.5143163689473094
Red Wine,UFCE2,Actionability,50.0,11.2,-38.8
Red Wine,UFCE2,Plausibility,41.0,42.8,1.7999999999999972
Red Wine,UFCE2,Feasibility,41.0,9.0,-32.0
Red Wine,UFCE3,Prox-Jac,,,
Red Wine,UFCE3,Prox-Euc,21.95,0.4990640243817165,-21.450935975618282
Red Wine,UFCE3,Sparsity,3.0,2.6300724732533163,-0.3699275267466837
Red Wine,UFCE3,Actionability,50.0,42.2,-7.799999999999997
Red Wine,UFCE3,Plausibility,42.0,41.8,-0.20000000000000284
Red Wine,UFCE3,Feasibility,42.0,41.2,-0.7999999999999972
Red Wine,DiCE,Prox-Jac,,,
Red Wine,DiCE,Prox-Euc,43.1,,
Red Wine,DiCE,Sparsity,7.0,,
Red Wine,DiCE,Actionability,10.0,,
Red Wine,DiCE,Plausibility,33.0,,
Red Wine,DiCE,Feasibility,10.0,,
Red Wine,AR,Prox-Jac,,,
Red Wine,AR,Prox-Euc,38.25,,
Red Wine,AR,Sparsity,7.2,,
Red Wine,AR,Actionability,11.0,,
Red Wine,AR,Plausibility,42.0,,
Red Wine,AR,Feasibility,11.0,,
