dataset,method,metric,author,ours,delta
Bank Loan,UFCE1,Prox-Jac,0.6,0.6562155388471178,0.05621553884711783
Bank Loan,UFCE1,Prox-Euc,10.0,0.7970666666666668,-9.202933333333334
Bank Loan,UFCE1,Sparsity,1.0,1.0,0.0
Bank Loan,UFCE1,Actionability,14.0,16.2,2.1999999999999993
Bank Loan,UFCE1,Plausibility,14.0,16.2,2.1999999999999993
Bank Loan,UFCE1,Feasibility,14.0,16.2,2.1999999999999993
Bank Loan,UFCE2,Prox-Jac,0.0,0.14804505135387486,0.14804505135387486
Bank Loan,UFCE2,Prox-Euc,23.1,40.91984123334425,17.81984123334425
Bank Loan,UFCE2,Sparsity,2.0,1.9875,-0.012499999999999956
Bank Loan,UFCE2,Actionability,30.0,15.8,-14.2
Bank Loan,UFCE2,Plausibility,30.0,15.8,-14.2
Bank Loan,UFCE2,Feasibility,30.0,15.8,-14.2
Bank Loan,UFCE3,Prox-Jac,0.0,0.5316268606509124,0.5316268606509124
Bank Loan,UFCE3,Prox-Euc,40.12,59.945959845093896,19.825959845093898
Bank Loan,UFCE3,Sparsity,3.0,2.438966445210664,-0.5610335547893359
Bank Loan,UFCE3,Actionability,44.0,41.4,-2.6000000000000014
Bank Loan,UFCE3,Plausibility,43.0,45.0,2.0
Bank Loan,UFCE3,Feasibility,43.0,41.4,-1.6000000000000014
Bank Loan,DiCE,Prox-Jac,0.7,,
Bank Loan,DiCE,Prox-Euc,121.45,,
Bank Loan,DiCE,Sparsity,5.2,,
Bank Loan,DiCE,Actionability,8.0,,
Bank Loan,DiCE,Plausibility,39.0,,
Bank Loan,DiCE,Feasibility,8.0,,
Bank Loan,AR,Prox-Jac,0.62,,
Bank Loan,AR,Prox-Euc,129.56,,
Bank Loan,AR,Sparsity,5.3,,
Bank Loan,AR,Actionability,9.0,,
Bank Loan,AR,Plausibility,45.0,,
Bank Loan,AR,Feasibility,9.0,,
